presence_handle,published_at,report_generated_at,captured_at,caption,image,post_link,post_type,posted_by,spend,reach,reach_paid,reach_organic,reach_organic_viral,reach_organic_non_viral,fan_reach,fan_reach_rate,impressions,impressions_paid,impressions_organic,impressions_organic_viral,impressions_organic_non_viral,engaged_users,engaged_page_fans,engaged_non_page_fans,page_fans,social_engagement_total,social_engagement_total_post_only,engagement_total,social_engagement_total_organic,social_engagement_total_paid,reactions,likes_post_only,loves_post_only,hahas_post_only,wows_post_only,sads_post_only,angrys_post_only,likes,loves,hahas,wows,sads,angrys,negative_feedback,negative_feedback_unique,fan_post_impressions,fan_post_impressions_paid,fan_reach_paid,video_viewers,video_viewers_organic,video_viewers_paid,total_time_viewed_reels_and_videos,video_view_length_organic,video_view_length_paid,reactions_organic,reactions_paid,reactions_post_only,comments,comments_organic,comments_paid,comments_post_only,shares,shares_organic,shares_paid,shares_post_only,consumptions_via_insights,link_clicks_via_insights,photo_views_via_insights,video_plays_via_insights,other_clicks_via_insights,consumptions_via_ads,link_clicks_via_ads,photo_views_via_ads,video_plays_via_ads,other_clicks_via_ads,facebook_engagement_rate,social_engagement_rate_by_reach,social_engagement_rate_by_reach_paid,social_engagement_rate_by_reach_organic,social_engagement_rate_by_impression,social_engagement_rate_by_impression_paid,social_engagement_rate_by_impression_organic,engagement_rate_by_reach,engagement_rate_by_impression,engagement_rate_by_page_fan,social_engagement_rate_by_page_fan,live_video_viewers,video_length_reels_and_videos,average_watch_length_reels_and_videos,average_percent_viewed_video,video_view_rate_by_impression,views_reels_and_videos,video_views_organic,video_views_paid,30_second_video_views,30_second_video_views_organic,30_second_video_views_paid,10_second_video_views,10_second_video_views_organic,10_second_video_views_paid,video_views_to_95,video_views_to_95_organic,video_views_to_95_paid,30_second_video_view_rate,30_second_video_view_rate_organic,30_second_video_view_rate_paid,95_video_view_rate,95_video_view_rate_organic,95_video_view_rate_paid,post_tag_ugc,post_tag_contests
BMWIndonesia,2024-03-06 18:21:01,2024-04-03 15:46:58,2024-04-03 13:20:42,"Endure the latest version of Indonesia’s no. 1 premium EV, THE iX xDrive50 Sport, boasting increased power, acceleration, and electric range.  Enjoy sustainable driving with advanced smart technology for #EverlastingJOY on wheels. Connect with your nearest authorized BMW dealer or tap the link in our bio, to know more about THE iX.",https://d1fufsnuanxyqc.cloudfront.net/1166918391351832,https://www.facebook.com/reel/1166918391351832/,reel,"BMW Indonesia",0,1301,,,,,,,993,,,,,,,,154307,33,,33,,,31,,,,,,,22,8,1,0,0,0,,,,,,,,,3322108,,,,,,0,,,,2,,,,,,,,,,,,,,0.02536510376633359,0.02536510376633359,,,0.03323262839879154,,,0.02536510376633359,0.03323262839879154,0.00021385938421458522,0.00021385938421458522,,11311,3345,,1,993,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-03-01 10:00:30,2024-04-03 15:46:58,2024-03-30 18:52:53,"Start your electrifying adventures beyond boundaries with the 100% electric BMW iX1. Its compact SAV, exhilarating performance, and seamless tech guarantee #EverlastingJOY on your journey. Explore THE iX1 eDrive20 M Sport further by tapping the link in our bio, or connect with your preferred authorized BMW dealer. #ElectrifyYourDreams",https://d1fufsnuanxyqc.cloudfront.net/322064417511910,https://www.facebook.com/reel/322064417511910/,reel,"BMW Indonesia",0,953,,,,,,,705,,,,,,,,154309,17,,17,,,17,,,,,,,10,6,1,0,0,0,,,,,,,,,1993929,,,,,,0,,,,0,,,,,,,,,,,,,,0.017838405036726127,0.017838405036726127,,,0.024113475177304965,,,0.017838405036726127,0.024113475177304965,0.00011016855789357717,0.00011016855789357717,,18958,2832,,1,705,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-03-25 18:15:46,2024-04-03 15:46:58,2024-04-03 13:20:42,"As dawn breaks on a new era, the future is here with an innovation to lead the electrified way. Coming soon on 26 March 2024. #EverlastingJOY",https://d1fufsnuanxyqc.cloudfront.net/3414938295463710,https://www.facebook.com/reel/3414938295463710/,reel,"BMW Indonesia",0,738,,,,,,,519,,,,,,,,154258,6,,6,,,5,,,,,,,4,1,0,0,0,0,,,,,,,,,1415799,,,,,,0,,,,0,,,,,,,,,,,,,,0.008130081300813009,0.008130081300813009,,,0.011560693641618497,,,0.008130081300813009,0.011560693641618497,0.0000388958757406423,0.0000388958757406423,,18752,2733,,1,519,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-03-22 12:45:51,2024-04-03 15:46:58,2024-04-03 13:20:42,"Introducing the BMW Vision Neue Klasse X: A captivating glimpse into the future of our BMW X models. 100% electric, fully digital, and committed to circularity. #THEVisionNeueKlasseX #NeueKlasse #EverlastingJOY",https://d1fufsnuanxyqc.cloudfront.net/351324037905759,https://www.facebook.com/reel/351324037905759/,reel,"BMW Indonesia",0,1065,,,,,,,836,,,,,,,,154270,15,,15,,,14,,,,,,,10,4,0,0,0,0,,,,,,,,,4682106,,,,,,0,,,,0,,,,,,,,,,,,,,0.014084507042253521,0.014084507042253521,,,0.017942583732057416,,,0.014084507042253521,0.017942583732057416,0.0000972321254942633,0.0000972321254942633,,30798,5600,,1,836,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-03-26 22:13:54,2024-04-03 15:46:58,2024-04-03 13:20:42,"The joy of owning a BMW comes with complete peace of mind. #WhateverHappens BMW Service is up to the tusk, so you can focus on what matters the most – Sheer Driving Pleasure. —  BMW i5 eDrive40​: Combined power consumption: 15.9 kWh/100 km. Combined CO2 emissions: 0 g/km. Electric range: 472–582 kilometer (WLTP). *The animals were treated with care and respect, never subjected to abuse or overworking. We collaborated with animal welfare experts for their well-being. #WhateverHappens, Relax. We Care.",https://d1fufsnuanxyqc.cloudfront.net/457775853258195,https://www.facebook.com/reel/457775853258195/,reel,"BMW Indonesia",0,1799,,,,,,,1642,,,,,,,,154260,12,,12,,,12,,,,,,,9,3,0,0,0,0,,,,,,,,,15272833,,,,,,0,,,,0,,,,,,,,,,,,,,0.006670372429127293,0.006670372429127293,,,0.007308160779537149,,,0.006670372429127293,0.007308160779537149,0.0000777907429015947,0.0000777907429015947,,15000,9312,,1,1642,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-03-22 15:08:06,2024-04-03 15:46:58,2024-04-03 13:20:42,"Engage with THE iX1 and THE NEW i4 eDrive35, paving the way towards the future of driving pleasure. Visit Ramadan On Tour at our selected dealers until 23 March 2024. For more info, contact your preferred authorized BMW dealer.",https://d1fufsnuanxyqc.cloudfront.net/719592090375266,https://www.facebook.com/reel/719592090375266/,reel,"BMW Indonesia",0,803,,,,,,,566,,,,,,,,154270,12,,12,,,12,,,,,,,9,3,0,0,0,0,,,,,,,,,4165341,,,,,,0,,,,0,,,,,,,,,,,,,,0.014943960149439602,0.014943960149439602,,,0.02120141342756184,,,0.014943960149439602,0.02120141342756184,0.00007778570039541064,0.00007778570039541064,,45511,7359,,1,566,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-03-22 19:32:57,2024-04-03 15:46:58,2024-04-03 13:20:42,"Make your dreams an electrified reality with The All-Electric iX1 eDrive20 M Sport. Bold and aerodynamic, powered by 204 HP, the iX1 sets a new standard for electric mobility with its zero-emissions functionality and versatility. To #ElectrifyYourDreams with THE iX1, visit our selected dealers during ‘Drive For Change Ramadan On Tour’ until 23 March. For more information, contact your preferred authorized BMW dealer. #EverlastingJOY",https://d1fufsnuanxyqc.cloudfront.net/734817868632841,https://www.facebook.com/reel/734817868632841/,reel,"BMW Indonesia",0,925,,,,,,,697,,,,,,,,154270,18,,18,,,17,,,,,,,13,4,0,0,0,0,,,,,,,,,2401121,,,,,,0,,,,1,,,,,,,,,,,,,,0.01945945945945946,0.01945945945945946,,,0.02582496413199426,,,0.01945945945945946,0.02582496413199426,0.00011667855059311596,0.00011667855059311596,,18640,3444,,1,697,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-03-31 09:51:02,2024-04-03 15:46:58,2024-04-03 13:20:42,"As the echoes of triumph resound, embrace the #EverlastingJOY found in victory. Wishing you a Happy Easter, a celebration of hope, love, and renewal.",https://d1fufsnuanxyqc.cloudfront.net/734841928719004,https://www.facebook.com/reel/734841928719004/,reel,"BMW Indonesia",0,798,,,,,,,603,,,,,,,,154252,21,,21,,,19,,,,,,,16,3,0,0,0,0,,,,,,,,,1319629,,,,,,0,,,,1,,,,,,,,,,,,,,0.02631578947368421,0.02631578947368421,,,0.03482587064676617,,,0.02631578947368421,0.03482587064676617,0.0001361408604102378,0.0001361408604102378,,10066,2195,,1,603,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-03-05 18:30:37,2024-04-03 15:46:58,2024-03-27 13:15:10,"Beat the heat with THE iX1. Our battery stays cool and reliable even in the hot weather. Plus, enjoy peace of mind with an 8-year battery warranty for your #EverlastingJOY. #ElectrifyYourDreams",https://d1fufsnuanxyqc.cloudfront.net/195487454216_808873947933527,https://www.facebook.com/644655054355418/posts/808873947933527,photo,Instagram,0,1847,0,1847,0,1847,1349,0.008742255748243772,1887,0,1887,0,1887,29,16,13,154308,23,23,29,23,0,23,16,7,0,0,0,0,16,7,0,0,0,0,0,0,1350,,,,,,,,,23,0,23,0,0,0,0,0,0,0,0,6,,4,,2,0,0,0,0,0,0.01570113697888468,0.01245262587980509,,0.01245262587980509,0.012188659247482777,,0.012188659247482777,0.01570113697888468,0.015368309485956544,0.00018793581667833165,0.0001490525442621251,,,,,,,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-03-07 17:26:15,2024-04-03 15:46:58,2024-03-27 13:15:10,"As the sun rises, finalists from BMW Indonesia step onto the course with determination, grace, and JOY. With every swing, they strive for excellence, ready to overcome challenges and make their mark on BMW golf history. Stay tuned for the 2023 BMW Golf Cup World Final, taking place from 4-9 March in South Africa. Best of luck to all the finalists for an amazing tournament. #EverlastingJOY",https://d1fufsnuanxyqc.cloudfront.net/195487454216_810028751151380,https://www.facebook.com/644655054355418/posts/810028751151380,photo,"Leverate Socmed",0,2474,0,2474,0,2474,2115,0.013706797664335755,2611,0,2611,0,2611,43,21,22,154303,10,9,51,10,0,10,6,3,0,0,0,0,7,3,0,0,0,0,0,0,2220,,,,,,,,,10,0,9,0,0,0,0,0,0,0,0,41,,24,,17,0,0,0,0,0,0.017380759902991108,0.004042037186742118,,0.004042037186742118,0.0038299502106472617,,0.0038299502106472617,0.020614389652384803,0.019532746074301034,0.0003305185252393019,0.00006480755396849056,,,,,,,,,,,,,,,,,,,,,,,,0,0
