published_at,report_generated_at,captured_at,company,presence_handle,message,post_link,link,link_title,link_description,image,post_type,posted_domain,posted_url,engagement_total,likes,comments,shares,followers,engagement_rate_by_follower,engagement_rate_by_view,engagement_rate_lift,views,post_tag_ugc,post_tag_contests
2024-04-08 20:03:48,2024-05-02 11:01:49,2024-04-27 15:12:47,"BMW Indonesia",bmw.indonesia,"Have a joyful journey back home with all your essentials packed, while you relish in the comfortable SensaTec upholstery and spaciousness of THE X3. With BMW Service by your side, secure peace of mind on the road. #WhateverHappens, Relax. We Care. Contact your preferred Authorized BMW Dealer or visit bmw.co.id now for more details on THE X3 and BMW Service. Take advantage of installment plans starting from Rp19 million, and save up to Rp50 million* on the BMW X3 xDrive30i M Sport. *TnC Apply.",https://www.tiktok.com/@bmw.indonesia/video/7355481209318837510,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/0157388139021845537,video,,,887,807,6,74,12643,0.07015739935141976,0.031825194646765455,36.53300409976535,27871,0,0
2024-04-09 16:47:18,2024-05-02 11:01:49,2024-04-27 15:12:47,"BMW Indonesia",bmw.indonesia,"Drive JOY home this blessed Lebaran with BMW's exclusive offers. Get free IDR 10 Mio gasoline or BMW accesories and lifestyle voucher, and savings up to IDR 50 Mio and low monthly installments.* 281i Gran Coupé Sport → Start from IDR 11 Mio / month 320i M Sport → Start from IDR 14 Mio / month 330i M Sport Pro → Start from IDR 15 Mio / month X3 sDrive20i xLine → Start from IDR 17 Mio / month X3 xDrive30i M Sport → Start from IDR 19 Mio / month Enjoy this exclusive offer limited only until end of April 2024, contact your preferred authorized BMW dealer or visit bmw.co.id *TnC Apply.",https://www.tiktok.com/@bmw.indonesia/video/7355801652458310918,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/8190138542561085537,video,,,25,22,2,1,12800,0.001953125,0.032552083333333336,-18.75835413479346,768,0,0
2024-04-04 19:19:04,2024-05-02 11:01:49,2024-04-27 15:12:47,"BMW Indonesia",bmw.indonesia,"Time to take the lead with The First Fully-Electric i5, your finest iconic business sedan. Encounter its electrifying power, sporty elegance, and cutting-edge features to capture your #EverlastingJOY on the road. Get in touch with your preferred authorized BMW dealer or visit bmw.co.id, to explore more about THE i5. #THEi5 #AllElectricBusinessSedan",https://www.tiktok.com/@bmw.indonesia/video/7353985347136539910,,,,https://rivaliq-prod-shared-media.s3.amazonaws.com/tt1/0199356317435893537,video,,,23,16,1,6,12195,0.001886018860188602,0.031420765027322405,-19.005552052413837,732,0,0
